New Mexico	Albuquerque and Santa Fe
California	California
Florida	Florida
Michigan	Great Lakes
California	Maritime Northwest
Delaware	Mid-Atlantic
Illinois 	Midwest
Connecticut 	Northeast
Nebraska	Northern Plains
Alabama	Southeast
Georgia	Southeast
Arkansas	Southern Plains
Colorado	Southern Plains
Indiana	Midwest
Iowa	Midwest
Kansas	Southern Plains
Kentucky	Southeast
Louisiana	Southeast
Maine	Northeast
Maryland	Mid-Atlantic
Massachusetts	Northeast
Minnesota	Great Lakes
Minnesota	Northern Plains
Mississippi	Southeast
Missouri	Midwest
Montana	Northern Plains
New Hampshire	Northeast
New Jersey	Mid-Atlantic
New York	Great Lakes
New York	Northeast
North Carolina	Mid-Atlantic
North Dakota	Northern Plains
Ohio	Great Lakes
Oklahoma	Southern Plains
Oregon	Maritime Northwest
Pennsylvania	Great Lakes
Pennsylvania	Mid-Atlantic
Rhode Island	Northeast
South Carolina	Southeast
South Dakota	Northern Plains
Tennessee	Southeast
Texas	Southern Plains
Vermont	Northeast
Virginia	Mid-Atlantic
Washington	Maritime Northwest
Washington, D.C.	Mid-Atlantic
West Virginia	Mid-Atlantic
Wisconsin	Great Lakes
Wyoming	Northern Plains