Alabama	35000	36999
Alaska	99500	99999
Arizona	85000	86999
Arkansas	71600	72999
California	90000	96699
Colorado	80000	81999
Connecticut	6000	6999
Delaware	19700	19999
Florida	32000	34999
Georgia	30000	31999
Hawaii	96700	96999
Idaho	83200	83999
Illinois	60000	62999
Indiana	46000	47999
Iowa	50000	52999
Kansas	66000	67999
Kentucky	40000	42999
Louisiana	70000	71599
Maine	3900	4999
Maryland	20600	21999
Massachusetts	1000	2799
Michigan	48000	49999
Minnesota	55000	56999
Mississippi	38600	39999
Missouri	63000	65999
Montana	59000	59999
Nebraska	68000	69999
Nevada	88900	89999
New Hampshire	3000	3899
New Jersey	7000	8999
New Mexico	87000	88499
New York	10000	14999
North Carolina	27000	28999
North Dakota	58000	58999
Ohio	43000	45999
Oklahoma	73000	74999
Oregon	97000	97999
Pennsylvania	15000	19699
Rhode Island	2800	2999
South Carolina	29000	29999
South Dakota	57000	57999
Tennessee	37000	38599
Texas	75000	79999
Texas	88500	88599
Utah	84000	84999
Vermont	5000	5999
Virginia	22000	24699
Washington DC	20000	20599
Washington 	98000	99499
West Virginia	24700	26999
Wisconsin	53000	54999
Wyoming	82000	83199